,time,swh(m),period(s),direction_(deg)
12593,2022-06-09 17:00:00,0.2786378346603793,2.4526761107105473,183.7887750014753
12594,2022-06-09 18:00:00,0.3037752659222457,2.5155380848386057,182.35499389491733
12595,2022-06-09 19:00:00,0.3321217309622224,2.5802071793728096,183.75581451626707
12596,2022-06-09 20:00:00,0.35261017739169787,2.643327313558889,186.34321260511302
12597,2022-06-09 21:00:00,0.3524456115569228,2.7029622869616876,187.0189025518817
12598,2022-06-09 22:00:00,0.3214249517018539,2.761822780190424,188.02419735073266
12599,2022-06-09 23:00:00,0.2988382908789986,2.777828703787712,188.7493280253137
12600,2022-06-10 00:00:00,0.2776915811104237,2.7809266244839614,189.08991970579874
12601,2022-06-10 01:00:00,0.2580259638548228,2.776796063555629,189.39755090107553
12602,2022-06-10 02:00:00,0.24124024870778293,2.751109137782562,189.91393183600445
12603,2022-06-10 03:00:00,0.22297344104776884,2.7465913367671986,189.90843842180308
12604,2022-06-10 04:00:00,0.20614658444203493,2.742848015925897,189.78208989517154
12605,2022-06-10 05:00:00,0.1944212687143232,2.6913450843507527,190.45777984194024
12606,2022-06-10 06:00:00,0.18627525989296556,2.630032070570819,193.91313737460285
12607,2022-06-10 07:00:00,0.17574304646737193,2.5945350625929624,194.78109681841954
12608,2022-06-10 08:00:00,0.1645114282439848,2.57375317792229,195.30846458175122
12609,2022-06-10 09:00:00,0.1557482975422213,2.535803649393236,195.14915556991144
12610,2022-06-10 10:00:00,0.13616496320400806,2.537998009886413,198.24744117948492
12611,2022-06-10 11:00:00,0.13892144093648762,2.42376218421222,204.39457167081957
12612,2022-06-10 12:00:00,0.14069052366031776,2.3414091257035934,206.55348345195856
12613,2022-06-10 13:00:00,0.14213047471459817,2.259185147223977,207.98177114431513
12614,2022-06-10 14:00:00,0.13904486531256866,2.2542801061215823,207.99825138691926
12615,2022-06-10 15:00:00,0.13336734401283468,2.2415011832495537,209.41555225087308
12616,2022-06-10 16:00:00,0.1286772177217499,2.2333691414218992,212.01393716812177
12617,2022-06-10 17:00:00,0.1393739969821186,2.195548692921856,232.07039241732895
12618,2022-06-10 18:00:00,0.15204556625978594,2.1609552451470724,252.4179986192088
12619,2022-06-10 19:00:00,0.16228978947452366,2.1880620512392537,261.7403225189361
12620,2022-06-10 20:00:00,0.15817564360515113,2.1874166510942015,261.8611776313663
12621,2022-06-10 21:00:00,0.15648884379870842,2.1845768904559733,259.8396012052616
12622,2022-06-10 22:00:00,0.17002438370894413,2.199808333879199,274.6004051643467
12623,2022-06-10 23:00:00,0.17866409003462635,2.231303860957733,276.91313254312405
12624,2022-06-11 00:00:00,0.16969525203939417,2.244986344032834,276.62198159045136
12625,2022-06-11 01:00:00,0.16196065780497393,2.228464100319505,274.17741227084105
12626,2022-06-11 02:00:00,0.15513117566181545,2.2008409741112818,272.05146097491036
12627,2022-06-11 03:00:00,0.16780274493948277,2.2030353346044587,252.1598081517443
12628,2022-06-11 04:00:00,0.19791829270328987,2.3003616764782904,241.8706433525756
12629,2022-06-11 05:00:00,0.22778699171493466,2.3548334487206737,242.35406380229628
12630,2022-06-11 06:00:00,0.26329207056761983,2.4091761409340466,246.07310521662475
12631,2022-06-11 07:00:00,0.28373937553840123,2.4672621539887207,250.74800070199186
12632,2022-06-11 08:00:00,0.29135054539674043,2.5157962448966265,257.23572287381154
12633,2022-06-11 09:00:00,0.2996199785941793,2.5441938512789113,265.77798195694413
12634,2022-06-11 10:00:00,0.2768276104778553,2.5808525795178614,268.26100517596404
12635,2022-06-11 11:00:00,0.2544877984071625,2.5916953019547337,269.52449044227944
12636,2022-06-11 12:00:00,0.2409933999556204,2.5622650553403656,269.6892928683206
12637,2022-06-11 13:00:00,0.24198079496426983,2.512956484258398,272.46896045421454
12638,2022-06-11 14:00:00,0.2760870642213684,2.5014683616764732,277.9074405135723
12639,2022-06-11 15:00:00,0.3406380129118236,2.5684608967328644,279.3741821053385
12640,2022-06-11 16:00:00,0.4155566091930978,2.6872145234224205,279.9125366970729
12641,2022-06-11 17:00:00,0.48306974290950133,2.8063553901990077,280.8628973539101
