,time,wnd_speed(m/s),direction_(deg),u10,v10
0,2021-01-01 00:00:00,9.803797866975469,21.41942930848353,-3.58027334872798,-9.126669456318712
1,2021-01-01 01:00:00,10.424775762202241,21.825876867539364,-3.875797521841003,-9.677507078886094
2,2021-01-01 02:00:00,9.706590423577566,16.943576603346912,-2.8287898902736046,-9.285248806993465
3,2021-01-01 03:00:00,9.338031836541525,14.452098254800887,-2.330497306411499,-9.042545044680278
4,2021-01-01 04:00:00,9.217301412140323,11.551084209993178,-1.8456866647534556,-9.03061936180433
5,2021-01-01 05:00:00,8.988140057056764,4.506340423602921,-0.7061929096661963,-8.960354527562265
6,2021-01-01 06:00:00,9.019482930811826,357.6047711604997,0.37694632700808683,-9.011602732353495
7,2021-01-01 07:00:00,8.64997250746798,352.7760622989955,1.0877143200061976,-8.581311201559197
8,2021-01-01 08:00:00,8.550028000693814,351.62412073318364,1.2454530437937146,-8.45883121526569
9,2021-01-01 09:00:00,8.458773208283793,356.0665412246718,0.5802540154453311,-8.438847638554643
10,2021-01-01 10:00:00,7.978308865048476,356.1398420255457,0.537111800392335,-7.9602087447497505
11,2021-01-01 11:00:00,8.338578420850133,358.1210512681288,0.2734050108808963,-8.334095018698354
12,2021-01-01 12:00:00,8.141264606904192,2.8723901114781256,-0.4079723481123607,-8.131036094053854
13,2021-01-01 13:00:00,7.936074709311808,0.18110689902118793,-0.025085189517020545,-7.936035063244453
14,2021-01-01 14:00:00,7.881981914920992,0.9409355222608156,-0.12943542217645487,-7.880919069412374
15,2021-01-01 15:00:00,7.824522837927061,2.753514233760029,-0.37588532566669475,-7.8154889714713685
16,2021-01-01 16:00:00,8.0390171337782,2.739633212441447,-0.3842441298332129,-8.029828947485008
17,2021-01-01 17:00:00,8.388358894210443,6.730508836804461,-0.9831120025376152,-8.33054954541091
18,2021-01-01 18:00:00,8.947813307114009,8.924564502035992,-1.3881095463476156,-8.839486120035776
19,2021-01-01 19:00:00,8.763834761113655,7.1812305859353955,-1.095551400519486,-8.695088662510798
20,2021-01-01 20:00:00,8.981173093921253,6.343241151471318,-0.9922797232363765,-8.926189057701444
21,2021-01-01 21:00:00,9.032086809983563,4.83103075848868,-0.760659956170604,-8.999999365230954
22,2021-01-01 22:00:00,7.444145486098631,1.1789465259165581,-0.1531636404556027,-7.442569644782977
23,2021-01-01 23:00:00,7.688533258863722,352.8380915557132,0.9585573136912905,-7.628545834497067
24,2021-01-02 00:00:00,7.1153190509242465,343.18661631799637,2.0581445198545283,-6.811153083864603
25,2021-01-02 01:00:00,6.156752700222368,334.0376996479539,2.6953011084184646,-5.535427331891696
26,2021-01-02 02:00:00,5.980948577093754,330.7420129410803,2.9231459316671002,-5.217946314788787
27,2021-01-02 03:00:00,6.577376993295197,328.1121147968128,3.4745573678132065,-5.584741642162503
28,2021-01-02 04:00:00,6.972334044387042,326.77602777842935,3.8202343659253377,-5.832602456530155
29,2021-01-02 05:00:00,7.659681553705061,330.2480217356935,3.8010900079955707,-6.649995207162619
30,2021-01-02 06:00:00,8.019821694598907,332.00751451588104,3.764149486356443,-7.081576000970532
31,2021-01-02 07:00:00,8.483055661315836,334.4884158637826,3.6535975602831403,-7.655942673536404
32,2021-01-02 08:00:00,8.337934901832993,339.63515952344414,2.901574824140602,-7.8167782344849845
33,2021-01-02 09:00:00,8.451789214113463,345.9887683638804,2.0462804107149544,-8.200333981035707
34,2021-01-02 10:00:00,10.352151596333366,314.6204090810304,7.368411915190185,-7.27141997972547
35,2021-01-02 11:00:00,9.903313002361259,321.9724522110295,6.100839709164344,-7.8009847625681905
36,2021-01-02 12:00:00,9.688789441030105,333.83629741986215,4.272149068605472,-8.69605560977101
37,2021-01-02 13:00:00,9.63091380282865,344.52364830738907,2.5699190459206944,-9.281703333706021
38,2021-01-02 14:00:00,9.510753680972941,349.54770663366094,1.725410186258296,-9.352935115208298
39,2021-01-02 15:00:00,8.91844872895909,354.82044410582876,0.8051328114090731,-8.8820317994851
40,2021-01-02 16:00:00,8.463160899859185,353.86391599933137,0.9046295448750453,-8.414673957049345
41,2021-01-02 17:00:00,7.77671290315446,352.35083024436676,1.0351347454103585,-7.70751319408104
42,2021-01-02 18:00:00,7.044273662424068,352.59512978315604,0.9078652110040201,-6.98552590645615
43,2021-01-02 19:00:00,6.609642917604999,352.9326665346132,0.8132219767315099,-6.559424480456103
44,2021-01-02 20:00:00,6.163264116545221,354.1116190148962,0.6322943123530076,-6.130744528428825
45,2021-01-02 21:00:00,5.6861667532656766,351.01082655300536,0.8884512142301718,-5.616328585996092
46,2021-01-02 22:00:00,5.766043588621506,352.9436473265717,0.7083324663839131,-5.722370468865997
47,2021-01-02 23:00:00,5.128725246206242,354.2096772946268,0.5174281647744055,-5.102557275070166
48,2021-01-03 00:00:00,4.56726223625721,354.71578446852345,0.42062781974924546,-4.547851863461936
49,2021-01-03 01:00:00,4.327364534384032,353.1110681640358,0.5190459978388928,-4.296123260053436
50,2021-01-03 02:00:00,3.8927629187698556,349.49175779940936,0.7099502994484005,-3.8274761546040663
51,2021-01-03 03:00:00,3.805015636152233,341.40443483019186,1.2133660213480486,-3.6063675477689445
52,2021-01-03 04:00:00,3.9333640258196985,330.11692609039784,1.9597263417648811,-3.4103995696993312
53,2021-01-03 05:00:00,4.468718076350169,320.07188246526243,2.8681396074745305,-3.4268376731229333
54,2021-01-03 06:00:00,5.411597251802181,312.1397485616017,4.012756500599332,-3.630863545027646
55,2021-01-03 07:00:00,5.8943712883413575,315.7971948942018,4.109556845624493,-4.225536110057967
