Time,SWH,MWP,MWD,DS
2022-01-01 00:00:00,0.2884037767342965,2.7204022630695577,356.4008513220706,4
2022-01-01 01:00:00,0.27830783663473,2.71231557287745,353.54438407719556,4
2022-01-01 02:00:00,0.27191682868179345,2.696446828082664,354.67049135642515,4
2022-01-01 03:00:00,0.26388506506392084,2.6889971032139077,358.5981338181283,4
2022-01-01 04:00:00,0.25520493832038793,2.686033829753101,3.127264812148752,4
2022-01-01 05:00:00,0.24201273349828073,2.695228285724949,6.379242906314204,4
2022-01-01 06:00:00,0.2256051768489198,2.712038631432515,7.532816216744521,4
2022-01-01 07:00:00,0.2162369912781556,2.7017641038254196,7.966779509715906,4
2022-01-01 08:00:00,0.22596243816305905,2.6507237955238647,8.906117776780576,4
2022-01-01 09:00:00,0.2627338897183608,2.607520930113976,8.719348764615688,4
2022-01-01 10:00:00,0.26728566349850613,2.6151091257052,14.465242491806663,4
2022-01-01 11:00:00,0.27885034455620084,2.635187380463001,16.69548422530525,4
2022-01-01 12:00:00,0.2782416771321117,2.67642396161385,18.156677085183645,4
2022-01-01 13:00:00,0.2662535752576592,2.711152418808722,18.969671608725008,4
2022-01-01 14:00:00,0.24891978557164077,2.743554567866139,18.810368627760823,4
2022-01-01 15:00:00,0.237355104513946,2.7288489771400806,17.371148592842985,4
2022-01-01 16:00:00,0.2285029630636053,2.708992275538228,14.179595767319142,4
2022-01-01 17:00:00,0.2209607797651087,2.694785179413053,10.999029354275592,4
2022-01-01 18:00:00,0.2223236655190476,2.6679495533988336,6.3737497000740575,4
2022-01-01 19:00:00,0.23806962714222463,2.6248574645669187,357.5434382200206,4
2022-01-01 20:00:00,0.24098064525743385,2.6199002127025786,353.0994343717439,4
2022-01-01 21:00:00,0.24169516788571246,2.6205925663149165,348.3368245615387,4
2022-01-01 22:00:00,0.22934980469712068,2.6319471655572593,351.5393637995429,4
2022-01-01 23:00:00,0.2149138012257878,2.667534141231431,352.5940593976506,4
2022-01-02 00:00:00,0.20805967675452247,2.6485636522533706,349.04544816651736,4
2022-01-02 01:00:00,0.20562500705816567,2.6233065924752816,340.9045165186235,4
2022-01-02 02:00:00,0.21516520733573768,2.596055554293659,323.1779399816777,4
2022-01-02 03:00:00,0.2368787560950936,2.57071541208209,299.80984063610373,4
2022-01-02 04:00:00,0.25233361590674974,2.5642903705595934,287.565483926822,4
2022-01-02 05:00:00,0.26414970307439434,2.5752018634900398,283.29176947198977,4
2022-01-02 06:00:00,0.2680531137288794,2.605333092698988,283.26430344078904,4
2022-01-02 07:00:00,0.27056717482837833,2.629260833541388,283.2148645846277,4
2022-01-02 08:00:00,0.2886816466452937,2.6280699853281666,278.83677921123274,4
2022-01-02 09:00:00,0.32812594210637847,2.645406519781109,275.2167562989776,4
2022-01-02 10:00:00,0.3062800743417858,2.7064721083893177,277.1888173391894,4
2022-01-02 11:00:00,0.30033895100665425,2.7144203278589574,280.20458756502865,4
2022-01-02 12:00:00,0.3390951876405077,2.6840121572050744,284.8738128691513,4
2022-01-02 13:00:00,0.4037727174002468,2.7333908168370176,286.12077068566407,4
2022-01-02 14:00:00,0.4687810446730778,2.8236737278858883,286.40641741015156,4
2022-01-02 15:00:00,0.5051952349142402,2.905869948742651,286.461349472553,4
2022-01-02 16:00:00,0.5223173141918798,2.9556086322530106,287.10954780889006,4
2022-01-02 17:00:00,0.5374149126893967,2.98244425826723,286.8293942906427,4
2022-01-02 18:00:00,0.5449174002863222,3.0004177580435236,286.17570274806553,4
2022-01-02 19:00:00,0.5394790891710904,3.0150956546250884,285.9340016734992,4
2022-01-02 20:00:00,0.5441896457575199,3.0234869804066244,285.2693237184417,4
2022-01-02 21:00:00,0.5680996900038064,3.046639285203206,284.2860398014559,4
2022-01-02 22:00:00,0.4739414858773123,3.1044646589056724,286.40641741015156,4
2022-01-02 23:00:00,0.40872144819610245,3.07516425403153,287.82366462010884,4
2022-01-03 00:00:00,0.36268766627422594,3.0188897524207,287.74126652650665,4
2022-01-03 01:00:00,0.3237991106351357,2.975631498721824,287.07109536520903,4
2022-01-03 02:00:00,0.294715393284091,2.924535802131283,286.1372503043845,4
2022-01-03 03:00:00,0.27293568502211674,2.870864550102844,284.90127890035205,4
2022-01-03 04:00:00,0.2563296498649006,2.8124852935105067,284.8133876005097,4
2022-01-03 05:00:00,0.2477950740271281,2.7473763598062444,287.26885078985424,4
2022-01-03 06:00:00,0.24890655367111708,2.6862553829090494,291.8117323504536,4
2022-01-03 07:00:00,0.25069286024181364,2.649782194611085,293.9266167529092,4
2022-01-03 08:00:00,0.2510633534564766,2.6256605947572305,291.4876331822851,4
2022-01-03 09:00:00,0.2487080751632619,2.6116473576435104,288.7849757121341,4
2022-01-03 10:00:00,0.23890323687521636,2.5842024604504332,290.075879178568,4
2022-01-03 11:00:00,0.25201605029418145,2.568582962956089,291.9600489189375,4
2022-01-03 12:00:00,0.2685691578493029,2.5785251608292623,292.4764103055111,4
2022-01-03 13:00:00,0.28112623144627347,2.6026190665386233,294.02549446523176,4
2022-01-03 14:00:00,0.3021252575773508,2.613502865324576,296.33813429233254,4
2022-01-03 15:00:00,0.3297534658707909,2.6417231985634713,299.30446566201044,4
2022-01-03 16:00:00,0.36058379409096114,2.682544367546918,304.07256867845575,4
2022-01-03 17:00:00,0.4190423306045714,2.7471548066502964,311.87292153946066,4
2022-01-03 18:00:00,0.5016623174744181,2.8391270605132717,318.42082337771274,4
2022-01-03 19:00:00,0.5736570882237513,2.9614520967411426,323.66683533705054,4
