Time,Speed,direction,u,v
2022-01-01 00:00:00,3.9069493522763947,336.1340151159788,1.5807468046912172,-3.5728829788717467
2022-01-01 01:00:00,3.815850999438453,339.1376564582231,1.3589158766367877,-3.565678966219465
2022-01-01 02:00:00,4.138642402716598,354.1842125501537,0.4193703966477058,-4.117340088938411
2022-01-01 03:00:00,4.1024637384353735,3.7267674842136103,-0.26665402270774274,-4.093788509113645
2022-01-01 04:00:00,4.120128488852039,10.157548993386627,-0.7266072850016851,-4.055551826574611
2022-01-01 05:00:00,3.669380662529974,13.763612170403235,-0.8730067707196991,-3.5640165017612464
2022-01-01 06:00:00,2.981195097585225,11.244539495127526,-0.5813236490223759,-2.9239676853469994
2022-01-01 07:00:00,3.201503746570064,4.982147696307038,-0.2780356900425274,-3.189407843842605
2022-01-01 08:00:00,4.3219479040404485,4.744565002917398,-0.3574841914382787,-4.30713811458506
2022-01-01 09:00:00,4.852898209612975,10.344830340969281,-0.8714445810855127,-4.774013549934846
2022-01-01 10:00:00,4.808615002295493,22.86664095405098,-1.8685679075917403,-4.43071463931266
2022-01-01 11:00:00,4.681708490673031,21.492085094550816,-1.7152501534937594,-4.3561808161025155
2022-01-01 12:00:00,4.244031539600359,21.707649505996528,-1.5697433475667093,-3.943058398235138
2022-01-01 13:00:00,3.665144013461511,19.684050840483394,-1.2345420860599157,-3.450968918602366
2022-01-01 14:00:00,2.871921383324305,12.096883385087608,-0.6018552842145362,-2.8081493280910883
2022-01-01 15:00:00,3.053247980880549,12.339957432315714,-0.6525148623517147,-2.9827080962040644
2022-01-01 16:00:00,3.2105953066852715,5.187913360475591,-0.2903100371682754,-3.197443088723996
2022-01-01 17:00:00,3.0187285918771365,3.105707102423139,-0.16354950685145853,-3.0142949209102223
2022-01-01 18:00:00,3.1922382847321904,349.09054267965917,0.6041551133771499,-3.1345465167213837
2022-01-01 19:00:00,3.8073917523332717,341.6813110358306,1.1966713246291718,-3.614444590327217
2022-01-01 20:00:00,4.162911526831688,340.12983439035037,1.4149315335197472,-3.915073579855121
2022-01-01 21:00:00,4.8855509901635115,339.26077781194925,1.7300474997298623,-4.568976266754525
2022-01-01 22:00:00,2.9726141054267665,358.15368089195874,0.09577397242343766,-2.971070844996533
2022-01-01 23:00:00,2.3768215709586777,357.9867395983562,0.08349962529768962,-2.375354414134788
2022-01-02 00:00:00,1.744292156422526,346.4807899501619,0.40776555936518033,-1.695960605542696
2022-01-02 01:00:00,1.3321759732983238,288.969421597265,1.2598284198398395,-0.43304177211579686
2022-01-02 02:00:00,2.614443833293349,254.79907232177337,2.5229703240531896,0.6855197308557677
2022-01-02 03:00:00,3.572147627269558,255.1271674906707,3.452473156393932,0.9168793679578873
2022-01-02 04:00:00,4.153643767390786,265.6804164059631,4.141845124965494,0.3128506148050483
2022-01-02 05:00:00,4.485078042003338,276.66910436812196,4.4547293916982,-0.5208753109916913
2022-01-02 06:00:00,5.2946075652030045,284.62217486737813,5.12312338518212,-1.3365912051577271
2022-01-02 07:00:00,5.5682779313914965,282.68175881995245,5.432436932750972,-1.2224353123600344
2022-01-02 08:00:00,5.891788264912402,276.01406791908005,5.859361042779264,-0.617298249568383
2022-01-02 09:00:00,5.794280060461682,282.75178796833336,5.65136665148477,-1.2789591039394743
2022-01-02 10:00:00,3.98400530193576,284.05904336793463,3.8646680498713275,-0.9678011728428515
2022-01-02 11:00:00,4.486353443955156,284.1122246591811,4.3509553659986935,-1.093871394257779
2022-01-02 12:00:00,5.47731502010172,285.60853609887266,5.275325289541396,-1.47374452296078
2022-01-02 13:00:00,6.586919953391811,287.12197488942536,6.294988780769452,-1.9392345712620502
2022-01-02 14:00:00,7.024292192387557,291.62292111253015,6.529986735740592,-2.5884269421965005
2022-01-02 15:00:00,7.067299654951613,291.20742489185614,6.588680431996442,-2.55656304008064
2022-01-02 16:00:00,7.0882913788383615,294.04318413263377,6.47330156901441,-2.8879476220855915
2022-01-02 17:00:00,6.758225132746903,295.76118783991876,6.086548049579474,-2.93726740101275
2022-01-02 18:00:00,6.683041252301609,296.28706764505233,5.991923991737344,-2.959710671198704
2022-01-02 19:00:00,6.77603793155338,296.45536385644107,6.066462754282796,-3.0187281594654722
2022-01-02 20:00:00,6.704987724818995,299.0243610209922,5.862931761943118,-3.2531356480743265
2022-01-02 21:00:00,6.688957702575426,300.8597149864197,5.741973650267564,-3.4310193451037403
2022-01-02 22:00:00,3.3063697237755028,322.85471247958895,1.9965124173324664,-2.635530101846034
2022-01-02 23:00:00,3.4669926414008243,300.900490614456,2.9748894682284606,-1.7804692155021526
2022-01-03 00:00:00,3.3480296552865747,281.91089792702985,3.2759457277309005,-0.6910008405494175
2022-01-03 01:00:00,3.2246978044532715,270.78717670984696,3.2243934698027585,-0.0443021663022955
2022-01-03 02:00:00,4.090218659040017,262.22086105748,4.052577145869144,0.5536308838370745
2022-01-03 03:00:00,4.425785899428671,258.7759241563598,4.341135888298095,0.8614638860172597
2022-01-03 04:00:00,4.282682652283654,262.2546078179469,4.243610621135333,0.577182463661841
2022-01-03 05:00:00,4.584934965885648,285.6789008999321,4.414335631157102,-1.2390599569422227
2022-01-03 06:00:00,4.797579079980964,295.531594031795,4.329084711120087,-2.0677984893643058
2022-01-03 07:00:00,4.154592320681432,285.2100490603859,4.009059006059673,-1.089992310521935
2022-01-03 08:00:00,3.9598787553302905,265.2232574073446,3.9461250807967465,0.3297523367969396
2022-01-03 09:00:00,4.3370866330521185,270.5376838918338,4.336895659291018,-0.04070015997615467
